name,orbital_period,mass,radius,star_temperature,density
HAT-P-7 b,2.2047372,534.5396,16.712469900000002,6441.0,0.629
HAT-P-8 b,3.0763776,483.05600000000004,16.81335,6200.0,0.568
HAT-P-9 b,3.92289,247.88400000000001,15.692459999999999,6350.0,0.35
HATS-1 b,3.446459,589.519,14.5939878,5870.0,1.03
HATS-10 b,3.312846,167.1628,10.861424099999999,5880.0,0.7
HATS-11 b,3.6191613,270.13,16.925439,6060.0,0.299
HATS-12 b,3.142833,756.364,15.132015,6408.0,1.19
HATS-13 b,3.0440499,172.5654,13.585186799999999,5523.0,0.377
HATS-14 b,2.7667641,340.36379999999997,11.646047099999999,5346.0,1.191
HATS-15 b,1.74748753,689.626,12.3858345,5311.0,1.97
HATS-16 b,2.686502,1039.2060000000001,14.57157,5738.0,1.86
HATS-17 b,16.254611,425.2164,8.7093153,5846.0,3.5
HATS-18 b,0.8378434,629.244,14.986299299999999,5600.0,1.02
HATS-2 b,1.354133,427.44100000000003,13.0919952,5227.0,1.05
HATS-25 b,4.2986432,194.8114,14.123213999999999,5715.0,0.38
HATS-26 b,3.3023881,206.57000000000002,19.615575,6071.0,0.153
HATS-27 b,4.637038,168.43400000000003,16.81335,6438.0,0.18
HATS-28 b,3.1810781,213.56160000000003,13.3834266,5498.0,0.48
HATS-29 b,4.6058749,207.5234,14.022333899999998,5670.0,0.411
HATS-3 b,3.547851,340.36379999999997,15.4794909,6351.0,0.51
HATS-30 b,3.1743516,224.36679999999998,13.1704575,5943.0,0.543
HATS-31 b,3.37796,279.664,18.382596,6050.0,0.243
HATS-32 b,2.8126548,292.37600000000003,13.999916100000002,5700.0,0.58
HATS-33 b,2.5495551,378.81759999999997,13.786947,5659.0,0.79
HATS-34 b,2.1061607,299.0498,16.028727,5380.0,0.4
HATS-35 b,1.8209993,388.3516,16.4098296,6300.0,0.484
HATS-4 b,2.516729,420.4494,11.433078,5403.0,1.55
HATS-5 b,4.763387,75.3186,10.222516800000001,5304.0,0.39
HATS-6 b,3.3252725,101.3782,11.1864822,3724.0,0.399
HATS-8 b,3.583893,43.85640000000001,9.7853697,5679.0,0.259
HATS-9 b,1.9153073,265.9986,11.9374785,5366.0,0.85
HD 114762 b,83.9151,3489.4440000000004,12.441879,5673.0,
HD 149026 b,2.8758911,116.9504,9.1128357,6160.0,0.85
HD 17156 b,21.21663,1023.3160000000001,11.433078,6100.0,3.78
HD 63454 b,2.818049,126.48440000000001,12.307372200000001,4840.0,
HD 80606 b,111.4357,1252.132,10.984722,5645.0,
HD 97658 b,9.4909,7.859194,2.3426601,5119.0,3.35
HIP 116454 b,9.1205,11.7586,2.5332114,5089.0,4.17
K2-10 b,19.3044,26.99711,3.8446527,5620.0,2.6
K2-105 b,8.266902,29.997142,4.1360841,5434.0,
K2-107 b,3.31392,266.952,16.140816,6030.0,0.35
K2-108 b,4.73401,59.393642,5.279391899999999,5474.0,2.22
K2-22 b,0.381078,444.92,2.4995847,3830.0,
K2-27 b,6.771315,30.896516000000002,4.48356,5248.0,1.87
K2-29 b,3.2588321,231.994,13.338591,5358.0,0.53
K2-30 b,4.098503,184.0062,11.646047099999999,5425.0,0.64
K2-31 b,1.25785,563.7772,11.881434,5280.0,
K2-32 b,8.99213,16.496998,5.1336762,5275.0,0.67
K2-32 c,20.6602,12.098646,3.0151941,5275.0,2.7
K2-32 d,31.7154,10.299898,3.4299234,5275.0,1.38
K2-33 b,5.424865,1175.8600000000001,5.044005,3540.0,
K2-34 b,2.995607,559.328,15.132015,6132.0,0.94
K2-38 b,4.01593,12.000128000000002,1.5468282000000002,5757.0,17.5
K2-38 c,10.56103,9.89947,2.4211224,5757.0,3.6
K2-39 b,4.60497,39.794916,5.7053301,4912.0,1.17
K2-60 b,3.00265,135.3828,7.6556787,5500.0,1.7
K2-77 b,8.199796,603.82,2.2978245,4970.0,
K2-95 b,10.13389,10.989524,3.474759,3471.0,
K2-99 b,18.249,308.266,14.459481,5990.0,
KELT-1 b,1.217514,8653.694000000001,12.441879,6518.0,24.7
KELT-10 b,4.1662739,215.78620000000004,15.6812511,5948.0,0.308
KELT-14 b,1.7100566,408.0552,19.5371127,5720.0,0.322
KELT-15 b,3.329441,289.19800000000004,16.1744427,6003.0,0.36
KELT-16 b,0.9689951,873.95,15.8605935,6236.0,1.2
KELT-17 b,3.0801716,416.31800000000004,17.0935725,7454.0,0.46
KELT-2 A b,4.1137912,483.69160000000005,14.4146454,6151.0,
KELT-3 b,2.7033904,469.39060000000006,15.0759705,6306.0,0.75
KELT-4 A b,2.9895932,286.6556,19.043921100000002,6206.0,0.228
KELT-6 b,7.8455821,140.4676,13.226502,6272.0,
KELT-7 b,2.7347749,406.78400000000005,17.1832437,6789.0,0.442
KELT-8 b,3.24406,275.5326,20.848554,5754.0,0.167
KOI-12 b,17.8552333,3178.0,16.028727,6820.0,
KOI-13 b,1.763588,2949.1839999999997,16.9478568,7650.0,3.6
KOI-142 b,10.95416,8.5806,3.7773993000000003,5471.0,0.87
KOI-55 b,0.240104,0.44492000000000004,0.7622052,27730.0,
KOI-55 c,0.342887,0.66738,0.8630852999999999,27730.0,
KOI-94 b,3.743208,10.487400000000001,1.7149617,6182.0,10.1
KOI-94 c,10.423648,15.5722,4.3154265,6182.0,0.91
KOI-94 d,22.342989,106.14520000000002,11.264944499999999,6182.0,0.363
KOI-94 e,54.32031,34.958,6.5572064999999995,6182.0,0.6
Kepler-10 b,0.837491,4.6081,1.4795748,5627.0,8.0
Kepler-10 c,45.294301,17.1612,2.353869,5627.0,7.1
Kepler-100 b,6.88705,7.3094,1.3226502,5825.0,14.25
Kepler-101 b,3.4876812,50.848000000000006,5.716539,5667.0,1.45
Kepler-101 c,6.02976,3.1780000000000004,1.2553968,5667.0,10.5
Kepler-102 d,10.3117,3.8136,1.1769345,4909.0,13.27
Kepler-102 e,16.1457,8.8984,2.2193622,4909.0,4.68
Kepler-103 b,15.9654,9.8518,3.3738789,5845.0,1.38
Kepler-103 c,179.612,36.229200000000006,5.1448851,5845.0,1.47
Kepler-105 c,7.1262,4.598566,1.3114413,5827.0,11.2
Kepler-106 c,13.5708,10.487400000000001,2.4995847,5858.0,3.28
Kepler-106 e,43.8445,11.123000000000001,2.5556292000000003,5858.0,3.1
Kepler-11 b,10.3039,1.9068,1.8046329,5663.0,1.72
Kepler-11 c,13.0241,2.8602,2.8694784,5663.0,0.66
Kepler-11 d,22.6845,7.3094,3.1160742000000003,5663.0,1.28
Kepler-11 e,31.9996,7.945,4.1921286,5663.0,0.58
Kepler-11 f,46.6888,1.9068,2.4883758,5663.0,0.69
Kepler-11 g,118.3807,25.1062,3.3290433,5663.0,4.0
Kepler-113 b,4.754,11.7586,1.8158418,4725.0,10.73
Kepler-114 c,8.041,2.8602,1.6028726999999998,4605.0,
Kepler-114 d,11.776,3.8136,2.5332114,4605.0,
Kepler-117 b,18.7959228,29.8732,8.059199099999999,6150.0,0.3
Kepler-117 c,50.790391,584.7520000000001,12.340998899999999,6150.0,1.74
Kepler-12 b,4.4379629,137.2896,19.6604106,5947.0,0.11
Kepler-122 f,56.268,35.9114,1.7485884,6050.0,
Kepler-128 b,15.09,30.826600000000003,1.1320989000000001,6090.0,
Kepler-128 c,22.804,33.369,1.1320989000000001,6090.0,
Kepler-131 b,16.092,16.2078,2.4099135,5685.0,6.0
Kepler-131 c,25.5169,8.2628,0.8406675,5685.0,77.7
Kepler-138 b,10.3126,0.066738,0.5268183,3841.0,2.6
Kepler-138 c,13.7813,1.9703600000000001,1.1993523,3841.0,6.2
Kepler-138 d,23.0881,0.6387780000000001,1.2105612,3841.0,2.1
Kepler-14 b,6.790123,2669.52,12.733310399999999,6395.0,7.1
Kepler-145 b,22.951,37.1826,2.6453004,6022.0,
Kepler-145 c,42.882,79.45,4.3154265,6022.0,
Kepler-15 b,4.942782,209.74800000000002,10.760544,5515.0,0.93
Kepler-16 b,228.776,105.82740000000001,8.4515106,4450.0,0.964
Kepler-1647 b,1107.5923,482.954304,11.870225099999999,6210.0,
Kepler-17 b,1.4857108,778.6100000000001,14.683659,5781.0,1.35
Kepler-177 b,36.855,1.9068,2.9031051,5942.0,
Kepler-177 c,49.412,7.6272,7.0952337,5942.0,
Kepler-18 b,3.504725,6.9916,1.9951842,5345.0,4.9
Kepler-18 c,7.64159,17.1612,5.492361,5345.0,0.59
Kepler-18 d,14.85888,16.5256,6.9831446999999995,5345.0,0.27
Kepler-19 b,9.2869944,20.3392,2.2081533,5541.0,10.4
Kepler-20 b,3.6961219,8.5806,1.905513,5455.0,6.5
Kepler-20 c,10.854092,16.2078,3.0712386,5455.0,2.91
Kepler-20 d,77.61184,20.0214,2.7461805,5455.0,4.07
Kepler-20 e,6.098493,3.1780000000000004,0.8630852999999999,5455.0,
Kepler-20 f,19.57706,14.301,1.0312188,5455.0,
Kepler-21 b,2.78578,5.078444,1.6364994,6305.0,6.4
Kepler-22 b,289.8623,35.9114,2.3762868,5518.0,14.7
Kepler-23 b,7.1073,254.24,1.905513,5828.0,
Kepler-23 c,10.7421,858.0600000000001,3.1945365,5828.0,
Kepler-238 e,23.654,169.70520000000002,5.60445,5751.0,
Kepler-238 f,50.447,13.347600000000002,1.9951842,5751.0,
Kepler-24 b,8.1453,508.48,2.3987046,5897.0,
Kepler-24 c,12.3335,508.48,2.802225,5897.0,
Kepler-25 b,6.2385,9.597560000000001,2.7125538,6270.0,2.5
Kepler-25 c,12.7204,24.59772,5.2009296,6270.0,0.9
Kepler-26 b,12.28,5.119758,2.7798072,3914.0,1.26
Kepler-26 c,17.2559,6.200278,2.7237627,3914.0,1.61
Kepler-27 b,15.3348,2895.158,4.0015773,5400.0,
Kepler-27 c,31.3309,4385.64,4.8982893,5400.0,
Kepler-276 c,31.884,16.5256,2.9031051,6105.0,
Kepler-276 d,48.648,16.2078,2.802225,6105.0,
Kepler-277 b,17.324,87.39500000000001,2.9255229000000003,5946.0,
Kepler-277 c,33.006,64.19560000000001,3.36267,5946.0,
Kepler-279 c,35.736,49.259,4.3042176,6363.0,
Kepler-279 d,54.414,37.5004,3.1048653,6363.0,
Kepler-28 b,5.9123,479.87800000000004,3.5980569,4590.0,
Kepler-28 c,8.9858,432.208,3.3962966999999997,4590.0,
Kepler-282 d,24.806,61.0176,2.4547491,5602.0,
Kepler-282 e,44.347,56.2506,3.1048653,5602.0,
Kepler-289 b,34.545,7.3094,2.1521088,5990.0,4.1
Kepler-289 c,125.8518,133.476,11.5900026,5990.0,0.47
Kepler-289 d,66.0634,4.1314,2.6789270999999997,5990.0,1.2
Kepler-29 b,10.3384,4.509582,3.3514611,5701.0,0.65
Kepler-29 c,13.2884,4.001102,3.1384920000000003,5701.0,0.7
Kepler-30 b,29.33434,11.4408,3.9006971999999998,5498.0,1.02
Kepler-30 c,60.323105,638.7779999999999,12.2961633,5498.0,1.88
Kepler-30 d,143.34394,23.1994,8.7989865,5498.0,0.19
Kepler-305 b,5.487,10.487400000000001,3.5980569,5100.0,
Kepler-305 c,8.291,6.0382,3.2954166,5100.0,
Kepler-307 b,10.4208,7.439698,2.4323313,5367.0,2.62
Kepler-307 c,13.0729,3.6388100000000003,2.1969444,5367.0,1.74
Kepler-31 c,42.6318,1493.66,5.3018097,6340.0,
Kepler-31 d,87.6451,2161.04,3.9006971999999998,6340.0,
Kepler-32 b,5.90124,1302.98,2.1969444,3900.0,
Kepler-32 c,8.7522,158.9,1.9951842,3900.0,
Kepler-328 b,34.921,28.602,2.2978245,5914.0,
Kepler-328 c,71.312,39.4072,5.4026898,5914.0,
Kepler-338 e,9.341,8.5806,1.5580371000000002,5923.0,
Kepler-34 b,288.822,69.916,8.5635996,5913.0,0.613
Kepler-35 b,131.458,40.360600000000005,8.1600792,5606.0,0.41
Kepler-350 c,17.849,6.0382,3.1048653,6186.0,
Kepler-350 d,26.136,14.9366,2.802225,6186.0,
Kepler-36 b,13.83989,4.4492,1.4907837000000002,5911.0,7.46
Kepler-36 c,16.23855,7.945,3.6765192,5911.0,0.89
Kepler-37 b,13.3675,9.997988000000001,0.3250581,5417.0,
Kepler-37 c,21.302,12.000128000000002,0.7509963000000001,5417.0,
Kepler-37 d,39.7922,12.200342000000001,1.9391397,5417.0,
Kepler-38 b,105.599,122.0352,4.3042176,5623.0,
Kepler-39 b,21.08721,6387.780000000001,13.899036,6350.0,13.0
Kepler-396 b,42.994,75.6364,3.4971768,5384.0,
Kepler-396 c,88.505,17.7968,5.3018097,5384.0,
Kepler-4 b,3.21346,24.4706,4.0015773,5857.0,1.91
Kepler-40 b,6.87349,699.1600000000001,13.114412999999999,6510.0,1.68
Kepler-406 b,2.42629,6.356000000000001,1.4347392,5538.0,11.82
Kepler-406 c,4.62332,2.8602,0.8518764,5538.0,24.39
Kepler-41 b,1.8555582,177.96800000000002,14.459481,5750.0,0.33
Kepler-412 b,1.7208604,299.0498,15.0311349,5750.0,0.52
Kepler-413 b,66.262,67.0558,4.3490532,4700.0,3.2
Kepler-418 b,86.67856,349.58000000000004,13.45068,5820.0,
Kepler-419 b,69.7546,794.5,10.760544,6430.0,
Kepler-420 b,86.647661,460.81,10.536366,5520.0,2.1
Kepler-422 b,7.8914483,136.654,12.890234999999999,5972.0,0.38
Kepler-423 b,2.6843285,189.091,13.361008799999999,5560.0,0.459
Kepler-424 b,3.3118644,327.334,9.975921,5460.0,1.94
Kepler-425 b,3.79701816,79.45,10.9623042,5170.0,0.27
Kepler-426 b,3.21751883,108.052,12.217701,5725.0,0.26
Kepler-427 b,10.290994,92.16199999999999,13.786947,5800.0,0.16
Kepler-428 b,3.52563254,403.606,12.105612,5150.0,1.02
Kepler-43 b,3.0240949,1026.4940000000001,13.6636491,6041.0,5.0
Kepler-432 b,52.501129,1719.298,12.8341905,4995.0,4.46
Kepler-433 b,5.33408384,896.196,16.252905,6360.0,1.13
Kepler-434 b,12.8747099,908.908,12.666056999999999,5977.0,2.4
Kepler-435 b,8.6001536,266.952,22.305711,6161.0,0.131
Kepler-44 b,3.2467293,317.8,12.217701,5800.0,0.93
Kepler-447 b,7.79430132,435.386,18.494685,5493.0,0.4
Kepler-45 b,2.455239,160.489,10.760544,3820.0,0.8
Kepler-453 b,240.503,0.200214,6.198521700000001,5527.0,
Kepler-454 b,10.57375339,6.839056,2.3650778999999997,5701.0,2.76
Kepler-46 b,33.60134,1906.8000000000002,9.056791200000001,5309.0,14.0
Kepler-47 b,49.532,635.6,3.026403,5636.0,
Kepler-47 c,303.137,8898.4,4.6068579,5636.0,
Kepler-48 b,4.778,3.9407200000000002,1.8830952,5194.0,3.23
Kepler-48 c,9.67395,14.609266,2.7125538,5194.0,4.01
Kepler-48 d,42.8961,7.945,2.0400198,5194.0,5.08
Kepler-49 b,7.2037945,311.444,2.7237627,4252.0,
Kepler-49 c,10.9129343,228.816,2.5444203,4252.0,
Kepler-5 b,3.5484657,670.8758000000001,15.9838914,6297.0,0.4
Kepler-51 b,45.154,2.2246,7.0952337,6018.0,0.03
Kepler-51 c,85.312,4.1314,9.0007467,6018.0,0.03
Kepler-51 d,130.194,7.6272,9.6956985,6018.0,0.046
Kepler-52 b,7.8773565,2764.8599999999997,2.0960643,4263.0,
Kepler-52 c,16.3850021,3308.2980000000002,1.8382596,4263.0,
Kepler-53 b,18.6489525,5850.698,2.8918962,5858.0,
Kepler-53 c,38.5583038,5002.1720000000005,3.1721186999999995,5858.0,
Kepler-539 b,125.63243,308.266,8.3730483,5820.0,2.9
Kepler-54 b,8.0109434,292.37600000000003,2.0960643,4252.0,
Kepler-54 c,12.0717249,117.586,1.232979,4252.0,
Kepler-55 b,27.9481449,473.522,2.4323313,4503.0,
Kepler-55 c,42.1516418,352.75800000000004,2.2081533,4503.0,
Kepler-56 b,10.5016,22.246000000000002,6.5123709,4840.0,0.442
Kepler-56 c,21.40239,181.146,9.7965786,4840.0,1.06
Kepler-57 b,5.7293196,5993.708,2.1857355,5145.0,
Kepler-57 c,11.6092567,2208.71,1.5468282000000002,5145.0,
Kepler-58 b,10.2184954,441.74199999999996,2.7798072,6099.0,
Kepler-58 c,15.5741568,695.982,2.8582695,6099.0,
Kepler-59 b,11.8681707,651.49,1.0984722,6074.0,
Kepler-59 c,17.9801235,435.386,1.9839752999999998,6074.0,
Kepler-6 b,3.2346996,212.29040000000003,14.6164056,5647.0,0.4
Kepler-60 b,7.1334,4.188604000000001,1.7149617,5905.0,4.62
Kepler-60 c,8.9187,3.8485579999999997,1.905513,5905.0,3.06
Kepler-60 d,11.8981,4.1600019999999995,1.9951842,5905.0,2.91
Kepler-62 b,5.714932,9.534,1.3114413,4925.0,
Kepler-62 c,12.4417,4.1314,0.5380272,4925.0,
Kepler-62 d,18.16406,13.9832,1.9503485999999999,4925.0,
Kepler-62 e,122.3874,35.9114,1.6140815999999998,4925.0,
Kepler-62 f,267.291,34.958,1.4123214,4925.0,
Kepler-63 b,9.4341505,120.1284,6.1088505,5576.0,3.0
Kepler-68 b,5.39875,5.968284000000001,2.3314512,5793.0,2.6
Kepler-68 c,9.60504,7.19817,0.9975921,5793.0,
Kepler-7 b,4.8854892,140.1498,18.1808358,5933.0,0.14
Kepler-74 b,7.340711,200.214,10.760544,6000.0,0.88
